(('n2@241|5', (1, 289)), '+')
(('n2@234|3', (1, 288)), '+')
(('n2@236|3', (1, 287)), '+')
(('n2@237|3', (1, 286)), '-')
(('n2@238|3', (1, 285)), '-')
(('n2@239|3', (1, 284)), '+')
(('n2@240|5', (1, 283)), '+')
(('n2@233|3', (1, 282)), '+')
(('n2@220|7', (1, 281)), '+')
(('n2@221|3', (1, 280)), '-')
(('n2@846|3', (1, 279)), '+')
(('n2@228|3', (1, 278)), '+')
(('n2@229|3', (1, 277)), '+')
(('n2@230|3', (1, 276)), '-')
(('n2@231|3', (1, 275)), '+')
(('n2@232|3', (1, 274)), '+')
(('n2@771|3', (1, 273)), '-')
(('n2@770|3', (1, 272)), '-')
(('n2@219|7', (1, 271)), '+')
(('n2@218|7', (1, 270)), '+')
(('n2@220|5', (1, 269)), '-')
(('n2@219|5', (1, 268)), '+')
(('n2@218|5', (1, 267)), '+')
(('n2@217|7', (1, 266)), '-')
(('n2@216|7', (1, 265)), '+')
(('n2@217|5', (1, 264)), '-')
(('n2@216|5', (1, 263)), '+')
(('n2@215|3', (1, 262)), '+')
(('n2@214|3', (1, 261)), '+')
(('n2@213|3', (1, 260)), '-')
(('n2@199|3', (1, 259)), '-')
(('n2@198|3', (1, 258)), '-')
(('n2@197|3', (1, 257)), '-')
(('n2@196|3', (1, 256)), '-')
(('n2@195|3', (1, 255)), '+')
(('n2@194|3', (1, 254)), '+')
